Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type
1464;0;0;0;0;14;54;16;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;44;10,6875;209;5,625;14;25,0625;790;0,8125;3;24,875;0;0;-45,5625;902,8125;-1573,6875;490;1;1;0;0;0;0;4;965;1008;976;1005;375;437;455;450;495;482;5;284;368;8,1875;4,375;0;0;0;6;-4,375;-2,375;44,125;-1,5;23,75;394;-4;1;100;-46;7
1470;0;0;0;0;14;54;21;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;54;26;217;5,625;14,125;28,125;2026;1,75;3;24,875;0;0;-45,3125;902;-1502;489;1;1;0;0;0;0;4;992;1029;999;1022;373;435;455;450;495;482;5;283;364;8,1875;4,375;0;0;0;6;-1;-0,625;44,125;-0,125;24,75;394;16;1;100;-45;7
1476;0;0;0;0;14;54;26;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;66;27,25;229;5,625;14,125;28;2200;9,0625;3;24,8125;0;0;-45,5;902,625;-1274,5625;488;1;1;0;0;0;0;4;1105;1140;1122;1126;372;433;458;456;498;484;5;282;360;8,1875;4,375;0;0;0;6;5,25;-0,75;44,125;0,25;26,75;394;6;1;100;-46;7
1482;0;0;0;0;14;54;31;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;70;29;220;5,625;14,125;28,75;2284;13,5;3;24,8125;0;0;-45,5625;902,8125;-850,75;487;1;1;0;0;0;0;4;1176;1161;1223;1138;371;430;465;466;506;491;5;281;356;8,1875;4,375;0;0;0;6;6,375;-1;44,125;0,25;32,5;394;-11;1;100;-46;7
1488;0;0;0;0;14;54;36;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;70;29;236;5,625;14,125;28,5625;2312;14,8125;3;24,8125;0;0;-45,4375;902,0625;-870,75;486;1;1;0;0;0;0;4;1232;1172;1273;1116;369;428;474;475;516;495;5;280;352;8,1875;4,375;0;0;0;6;4,5;2,75;44,125;-0,25;41;394;33;0,9375;100;-45;7
1494;0;0;0;0;14;54;41;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;71;28,5625;226;5,625;14,125;27;2323;15,3125;3;24,75;0;0;-45,4375;902,0625;-870,75;485;1;1;0;0;0;0;4;1226;1195;1279;1124;368;426;479;482;526;498;5;279;349;8,1875;4,375;0;0;0;6;5,875;2,25;44,125;-0,75;45,25;395;-132;1,125;100;-45;7
1500;0;0;0;0;14;54;46;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;72;29,875;226;5,625;14,125;28,0625;2346;15,5625;3;24,75;0;0;-45,6875;903,625;-837,25;484;1;1;0;0;0;0;4;1244;1199;1294;1116;367;424;483;487;534;500;5;278;345;8,1875;4,375;0;0;0;6;7,375;-0,875;44,125;0;49;383;-456;0,875;100;-46;7
1506;0;0;0;0;14;54;51;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;72;29,8125;234;5,625;14,125;28,875;2361;15,6875;3;24,75;0;0;-45,75;904,375;-857,5625;483;1;1;0;0;0;0;4;1273;1199;1308;1108;365;422;487;492;543;500;5;277;342;8,1875;4,375;0;0;0;6;8,5;1,375;44,125;-0,75;58,25;346;-137;1;100;-46;7
1512;0;0;0;0;14;54;56;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;74;29,4375;238;5,625;14,125;27,1875;2398;15,875;3;24,6875;0;0;-45,5625;903,9375;-860,3125;482;1;1;0;0;0;0;4;1278;1206;1311;1111;364;420;489;496;551;500;5;276;338;8,1875;4,5;0;0;0;6;6,25;2,75;44,125;-0,25;67;346;44;1,0625;100;-46;7
1518;0;0;0;0;14;55;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;71;28,25;239;5,625;14,125;27,5;2416;16,125;3;24,6875;0;0;-45,375;902,625;-865,5;482;1;1;0;0;0;0;4;1280;1222;1314;1119;363;417;491;498;558;500;5;275;335;8,1875;4,5;0;0;0;6;9,5;2,75;44,125;0,25;82,25;393;1088;0,9375;100;-45;7
1524;0;0;0;0;14;55;6;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;72;27,75;239;5,625;14,125;26,6875;2393;16,375;3;24,6875;0;0;-45,5625;904;-860,5;480;1;1;0;0;0;0;4;1282;1227;1318;1121;361;415;492;500;564;500;5;274;331;8,1875;4,5;0;0;0;6;7,5;-0,625;44,125;2,25;97,25;523;1505;0,9375;100;-46;7
1530;0;0;0;0;14;55;11;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;74;27,5625;240;5,625;14,1875;27,0625;2402;16,375;3;24,625;0;0;-45,5625;904;-839,75;480;1;1;0;0;0;0;4;1283;1226;1318;1118;360;414;493;502;569;499;5;273;328;8,1875;4,5;0;0;0;6;6,875;2,25;44,125;0,125;104,75;622;1047;1,0625;100;-46;7
